,index,City,Country,Lat,Lng,Hotel Name
98,298,Diamantino,BR,-14.4086,-56.4461,Hotel Villa Dos parecis
99,300,Mirador,BR,-6.3708,-44.3631,LIMA CONSTRUÇÕES
100,304,Kaeo,NZ,-35.1,173.7833,Pacific Harbour Lodge
101,305,Guane,CU,22.2025,-84.0875,Casa Hospedaje
102,313,Souillac,MU,-20.5167,57.5167,Shanti Maurice Resort & Spa
103,319,Jacareacanga,BR,-6.2222,-57.7528,HOTEL VIANA
104,330,Tura,IN,25.5198,90.2201,Hotel Polo Orchid
106,333,Port Lincoln,AU,-34.7333,135.8667,Port Lincoln Hotel
108,349,Itacaré,BR,-14.2775,-38.9967,Vila Barracuda
109,350,San Miguel,SV,13.4833,-88.1833,Hotel Comfort Inn San Miguel
110,351,Inhambane,MZ,-23.865,35.3833,Sentidos Beach Retreat
111,355,Huarmey,PE,-10.0681,-78.1522,Hotel Miramar
112,357,Quatre Cocos,MU,-20.2078,57.7625,Shangri-La's Le Touessrok Resort & Spa
113,361,Anori,BR,-3.7728,-61.6442,Hotel Central
114,364,Cayenne,GF,4.9333,-52.3333,Mercure Cayenne Royal Amazonia
115,366,Bandarbeyla,SO,9.4942,50.8122,JABIR HOTEL
116,371,Cobija,BO,-11.0267,-68.7692,Un Hotel
117,374,Le Port,RE,-20.9373,55.2919,Lodge Roche Tamarin & Spa Village Nature
119,379,Antalaha,MG,-14.9003,50.2788,Villa-Malaza
123,387,Meulaboh,ID,4.1363,96.1285,EVA SKY HOTEL
124,389,Maputo,MZ,-25.9653,32.5892,Catembe Gallery Hotel
125,393,Kulhudhuffushi,MV,6.6221,73.07,Hondaafushi Island Resort
126,400,Fare,PF,-16.7,-151.0167,Maitai Lapita Village Huahine
127,403,Laje,BR,-10.1833,-40.9667,Hotel Beira Rio
128,407,Salalah,OM,17.0151,54.0924,HYATT SALALAH HOTEL
129,408,Moroni,KM,-11.7022,43.2551,Golden Tulip Grande Comore Moroni Resort & Spa
130,409,Tefé,BR,-3.3542,-64.7114,Stylos Hall Hotel
131,410,Mananjary,MG,-21.2167,48.3333,Sorafa Hotel
132,411,Batemans Bay,AU,-35.7167,150.1833,Bay Breeze Motel
133,413,Vung Tau,VN,10.345999999999998,107.0843,The IMPERIAL Hotel
135,415,São José da Coroa Grande,BR,-8.8978,-35.1478,Perobavilla Hotel
136,418,Petatlán,MX,17.5167,-101.2667,Hotel Del Angel
137,423,La Asuncion,VE,11.0333,-63.8628,Tamarindo Guacuco
139,435,Namatanai,PG,-3.6667,152.4333,Namatanai Hotel
140,436,Wanning,CN,18.8003,110.3967,Huangqi Hotel
141,439,Cabedelo,BR,-6.9811,-34.8339,Hotel Almagre
142,444,Maragogi,BR,-9.0122,-35.2225,Pousada Camurim Grande
143,452,Saint-Pierre,RE,-21.3393,55.4781,Le Battant Des Lames
144,455,Puerto Quijarro,BO,-17.7833,-57.7667,Puerto Quijarro
145,456,Hervey Bay,AU,-25.2986,152.8535,Oaks Hervey Bay Resort and Spa
146,461,‘Āhuimanu,US,21.4447,-157.8378,Paradise Bay Resort
147,463,Tiarei,PF,-17.5333,-149.3333,Le Rocher de Tahiti
148,466,Juradó,CO,7.1053,-77.7641,Punta Ardita
149,472,Acajutla,SV,13.5928,-89.8275,Villavela Hotel Boutique
150,478,Nelson Bay,AU,-32.7167,152.15,Oaks Pacific Blue Resort
151,479,Hualmay,PE,-11.0964,-77.6139,Kajaca Suite Hotel
152,480,Timaru,NZ,-44.4,171.25,The Grosvenor
153,483,Guarapari,BR,-20.6667,-40.4975,Fragata Hotel
154,484,Eyl,SO,7.9803,49.8164,Amiin Hotel
155,496,Tamale,GH,9.4008,-0.8393,Jeyads Lodge
156,509,Upata,VE,8.0086,-62.3989,Hotel Andrea
157,510,Kampong Cham,KH,11.9934,105.4635,LBN Asian Hotel
158,511,Coari,BR,-4.085,-63.1414,Hotel Thalyta
159,512,Rameswaram,IN,9.2833,79.3,Jiwan Residency
160,526,Richards Bay,ZA,-28.783,32.0377,BON Hotel Waterfront Richards Bay
161,527,Tougan,BF,13.0667,-3.0667,Hotel Zeela
162,531,Matara,LK,5.9485,80.5353,Lantern Boutique Hotel by Reveal
163,532,Trincomalee,LK,8.5711,81.2335,Amaranthé Bay Resort & Spa
164,533,Kununurra,AU,-15.7667,128.7333,The Kimberley Grande Resort
165,535,Itarema,BR,-2.9248,-39.9167,Pousada Villa Del Lótus
166,537,Cockburn Town,TC,21.4612,-71.1419,Osprey Beach Hotel
167,544,Rio Grande City,US,26.3798,-98.8203,Holiday Inn Express & Suites Rio Grande City
168,553,Boyolangu,ID,-8.1181,111.8935,Crown Victoria Hotel
169,557,Matanzas,CU,23.0411,-81.5775,Hotel E Velasco
170,564,Pauini,BR,-7.7136,-66.9764,Hotel Tatyane
